problem000,152.09,10,10,9991380,10
problem001,266.08,10,10,9973890,10
problem002,192.79,10,10,9991425,10
problem003,72.83,10,10,9997393,10
problem004,178.06,10,10,9998812,10
problem005,89.2,10,10,9999259,10
problem006,213.03,11,11,10995089,11
problem007,252.05,10,10,9992574,10
problem008,165.2,11,11,10986898,11
problem009,248.67,10,10,9992096,10
problem010,131.91,10,10,9992569,10
problem011,124.09,11,11,10987530,11
problem012,141.93,11,11,10982078,11
problem013,148.59,10,10,9996015,10
problem014,170.93,10,10,9991630,10
problem015,108.89,11,11,10984683,11
problem016,159.63,10,10,9997955,10
problem017,159.76,10,10,9998908,10
problem018,134.31,14,11,10998464,11
problem019,118.87,10,10,9989906,10
problem020,141.45,10,10,9987711,10
problem021,171.87,10,10,9987452,10
problem022,347.01,10,10,9987434,10
problem023,186.58,11,11,10972863,11
problem024,186.75,10,10,9996075,10
problem025,244.86,11,11,10982028,11
problem026,159.24,10,10,9977807,10
problem027,132.28,11,11,10983369,11
problem028,168.22,11,11,10980041,11
problem029,176.79,11,11,10988729,11
problem030,160.85,10,10,9996597,10
problem031,113.54,11,11,10999699,11
problem032,317.31,9,9,8993866,9
problem033,155.33,10,10,9997694,10
problem034,283.69,10,10,9993599,10
problem035,238.04,11,11,10994174,11
problem036,149.46,11,11,10992088,11
problem037,207.58,10,10,9983242,10
problem038,119.42,11,11,10981187,11
problem039,206.93,9,9,8995949,9
problem040,162.22,10,10,9988180,10
problem041,169.54,11,11,10998300,11
problem042,150.13,10,10,9985540,10
problem043,165.27,10,10,9981025,10
problem044,204.7,10,10,9991229,10
problem045,177.68,11,11,10985580,11
problem046,142.49,10,10,9998430,10
problem047,128.15,11,11,10995314,11
problem048,155.26,10,10,9990491,10
problem049,174.05,9,9,8987732,9
problem050,202.49,11,11,10978306,11
problem051,107.67,10,10,9999614,10
problem052,113.52,10,10,9997041,10
problem053,149.43,11,11,10993811,11
problem054,165.79,11,11,10997874,11
problem055,180.61,10,10,9992391,10
problem056,205.56,9,9,8996505,9
problem057,139.22,9,9,8997049,9
problem058,150.66,10,10,9999986,10
problem059,237.71,10,10,9988153,10
problem060,123.97,10,10,9996688,10
problem061,136.19,10,10,9998707,10
problem062,101.01,12,12,11975262,12
problem063,97.69,10,10,9999337,10
problem064,173.02,10,10,9995774,10
problem065,125.22,10,10,9995084,10
problem066,187.3,10,10,9989966,10
problem067,143,10,10,9997401,10
problem068,176.75,11,11,10988600,11
problem069,184.34,10,10,9997563,10
problem070,215.25,10,10,9988032,10
problem071,179.27,10,10,9990276,10
problem072,131.83,10,10,9995349,10
problem073,187.27,10,10,9992455,10
problem074,207,9,9,8996163,9
problem075,124.23,10,10,9980986,10
problem076,125.68,11,11,10989829,11
problem077,175.26,10,10,9993900,10
problem078,239.27,10,10,9992877,10
problem079,120.4,11,11,10982085,11
problem080,142.78,11,11,10992365,11
problem081,158.71,9,9,8998994,9
problem082,283.27,10,10,9994112,10
problem083,203.35,10,10,9994374,10
problem084,183.08,11,11,10988585,11
problem085,129.34,10,10,9988890,10
problem086,218.56,10,10,9996830,10
problem087,119.17,10,10,9993545,10
problem088,297.26,10,10,9987546,10
problem089,188.27,9,9,8999725,9
problem090,101.2,10,10,9992905,10
problem091,272.35,10,10,9991253,10
problem092,175.55,10,10,9980030,10
problem093,220.43,9,9,8996695,9
problem094,237.9,10,10,9990387,10
problem095,204.14,10,10,9996294,10
problem096,194.76,9,9,8994280,9
problem097,168.99,9,9,8995345,9
problem098,90.54,10,10,9999369,10
problem099,185.62,10,10,9995451,10
