problem000,45.9,21,21,209704,21
problem001,0.27,24,24,238991,24
problem002,5.39,22,22,219853,22
problem003,3.25,22,22,219746,22
problem004,34.17,21,21,209790,21
problem005,3.48,23,23,229474,23
problem006,2.19,23,23,229967,23
problem007,0.99,23,23,229854,23
problem008,3.15,22,22,219554,22
problem009,6.28,22,22,219518,22
problem010,15.44,22,22,219584,22
problem011,2.29,23,23,229901,23
problem012,2.51,22,22,219623,22
problem013,6.32,22,22,219918,22
problem014,1.1,23,23,229820,23
problem015,0.86,24,24,238995,24
problem016,8.78,21,21,209980,21
problem017,2.53,23,23,229812,23
problem018,18.25,21,21,209609,21
problem019,20.13,21,21,209397,21
problem020,1.95,22,22,219386,22
problem021,8.01,22,22,219408,22
problem022,0.43,25,25,249417,25
problem023,0.79,24,24,239608,24
problem024,14.93,21,21,209920,21
problem025,5.01,23,23,229244,23
problem026,33.65,22,22,219577,22
problem027,2.83,23,23,229518,23
problem028,6.55,22,22,219356,22
problem029,2.84,23,23,229264,23
problem030,1.78,23,23,229643,23
problem031,14.55,22,22,219770,22
problem032,0.51,24,24,239785,24
problem033,5.33,23,23,229638,23
problem034,2.08,22,22,219357,22
problem035,4.83,23,23,229914,23
problem036,0.76,23,23,229761,23
problem037,2.08,22,22,219992,22
problem038,4.16,23,23,229412,23
problem039,17.71,21,21,209689,21
problem040,3.15,22,22,219242,22
problem041,0.76,23,23,229653,23
problem042,9.3,21,21,209867,21
problem043,0.53,24,24,239377,24
problem044,10.08,21,21,209474,21
problem045,4.7,22,22,219755,22
problem046,40.01,20,20,199727,20
problem047,6.03,23,23,229524,23
problem048,0.77,23,23,229706,23
problem049,4.46,22,22,219750,22
problem050,8.74,23,23,229116,23
problem051,1.17,23,23,229867,23
problem052,28.43,21,21,209754,21
problem053,10.64,22,22,219666,22
problem054,47.21,21,21,209768,21
problem055,7.16,21,21,209499,21
problem056,18.63,21,21,209757,21
problem057,2.54,23,23,229525,23
problem058,3.93,21,21,209134,21
problem059,6.41,22,22,219477,22
problem060,4.35,23,23,229675,23
problem061,3.76,23,23,229627,23
problem062,3.4,22,22,219294,22
problem063,48.14,20,20,199943,20
problem064,1.02,23,23,229619,23
problem065,14.67,21,21,209561,21
problem066,21.27,20,20,199458,20
problem067,2.2,23,23,229419,23
problem068,25.91,22,22,219554,22
problem069,0.59,23,23,229809,23
problem070,2.03,22,22,219233,22
problem071,6.79,21,21,209711,21
problem072,2.66,22,22,219371,22
problem073,0.55,25,25,249924,25
problem074,34.09,21,21,209779,21
problem075,59.76,21,21,209239,21
problem076,2.98,21,21,209703,21
problem077,0.69,24,24,239374,24
problem078,1.55,24,24,239246,24
problem079,431.78,18,18,179942,18
problem080,3.02,21,21,209391,21
problem081,1.79,22,22,219368,22
problem082,42.18,21,21,209702,21
problem083,0.54,24,24,239434,24
problem084,141.44,20,20,199818,20
problem085,0.56,23,23,229625,23
problem086,0.45,24,24,239441,24
problem087,0.4,24,24,238828,24
problem088,2.61,21,21,209664,21
problem089,6.37,22,22,219554,22
problem090,33.48,20,20,199693,20
problem091,2.61,22,22,219546,22
problem092,29.97,21,21,209678,21
problem093,0.85,24,24,238850,24
problem094,7.43,21,21,209906,21
problem095,1.18,23,23,229273,23
problem096,12.85,22,22,219388,22
problem097,22.74,22,22,219645,22
problem098,43.64,21,21,209455,21
problem099,0.96,22,22,219744,22
