problem000,7.8,64,20,199872,20
problem001,7.19,20,20,199774,20
problem002,3.99,20,20,199294,20
problem003,1.6,4757,22,219006,22
problem004,1.27,22,21,209184,21
problem005,1.55,22,22,219039,22
problem006,6.21,20,20,199600,20
problem007,0.41,5005,23,229468,23
problem008,0.89,8847,22,218974,22
problem009,7.7,110,20,199566,20
problem010,20.44,21,20,199625,20
problem011,0.42,46,22,219557,22
problem012,3.43,45,20,199661,20
problem013,6.59,23,20,199927,20
problem014,12.42,19,19,189777,19
problem015,65.21,63,20,199469,20
problem016,0.57,42,22,219593,22
problem017,13.79,20,19,189644,19
problem018,2.45,2444,20,199439,20
problem019,1.26,85,22,219235,22
problem020,0.49,55,21,209967,21
problem021,6.33,919,20,199466,20
problem022,3.53,19,19,189987,19
problem023,2.43,85,21,209797,21
problem024,0.95,5664,22,219953,22
problem025,9.24,20,19,189175,19
problem026,5.01,374,20,199417,20
problem027,13.8,19,19,189775,19
problem028,13.24,724,20,199802,20
problem029,4.69,130,21,209630,21
problem030,12.25,32888,20,199430,20
problem031,2.63,2174,20,199992,20
problem032,4.35,49749,21,209443,21
problem033,22.15,48,19,189906,19
problem034,8.79,19,19,189252,19
problem035,0.47,23,23,229726,23
problem036,0.55,22,22,219537,22
problem037,3.43,64,22,219855,22
problem038,221.82,3371284,21,209467,21
problem039,5.57,20,20,199782,20
problem040,5.87,28,20,199778,20
problem041,14.79,19,19,189206,19
problem042,1.71,28,21,208977,21
problem043,8.35,148,20,199700,20
problem044,3.69,11473,21,209549,21
problem045,4.37,19733,21,209877,21
problem046,11.88,205,19,189949,19
problem047,0.09,114,22,219968,22
problem048,36.44,44016,19,189774,19
problem049,21.79,63,20,199600,20
problem050,3.01,243,21,209483,21
problem051,4.26,76,21,209696,21
problem052,4.54,28,21,209282,21
problem053,4.36,38,20,199434,20
problem054,72.65,407,19,189742,19
problem055,0.7,42,22,219551,22
problem056,1.24,8262,22,219367,22
problem057,3.43,2214,20,199433,20
problem058,20.66,19,19,189676,19
problem059,25.73,37,19,189583,19
problem060,0.64,67,22,219807,22
problem061,15.92,18,18,179589,18
problem062,8.02,99,20,199599,20
problem063,1.89,525,21,209898,21
problem064,4.04,20,20,199590,20
problem065,2.55,37,21,209872,21
problem066,16.11,23,20,199447,20
problem067,33.08,28,20,199680,20
problem068,2.14,20,20,199770,20
problem069,14.66,66,20,199821,20
problem070,61.83,19,19,189491,19
problem071,77.32,17,17,169823,17
problem072,2.16,11182,21,209921,21
problem073,52.95,18,18,179623,18
problem074,0.53,853,22,219808,22
problem075,1.04,13501,22,219497,22
problem076,4.8,47,20,199514,20
problem077,0.55,242,22,219584,22
problem078,15.06,20,20,199917,20
problem079,275.29,2024402,19,189849,19
problem080,2.33,69,20,199959,20
problem081,18.92,668,20,199684,20
problem082,3.96,38,20,199450,20
problem083,26.67,18,18,179510,18
problem084,24.7,19,19,189707,19
problem085,13.21,19,19,189881,19
problem086,8.02,23,20,199420,20
problem087,0.16,32,23,229116,23
problem088,4.71,21,21,209228,21
problem089,5.67,709,20,199773,20
problem090,1.49,25,21,209225,21
problem091,8.54,21,20,199896,20
problem092,12.54,5989,19,189944,19
problem093,1.86,7055,21,209934,21
problem094,4.55,11846,21,209889,21
problem095,0.78,841,21,208687,21
problem096,0.97,47,21,209465,21
problem097,870.27,89,17,169845,17
problem098,12.33,22,19,189530,19
problem099,4.1,14609,21,209956,21
